Input Size = 100
Total Conversions Output are on the end of file
arr[i]	arr[j]	i		j

199	94	0		1	

199	147	0		2	

199	167	0		3	

199	108	0		5	

199	160	0		6	

199	178	0		8	

199	138	0		11	

199	115	0		12	

199	128	0		15	

199	142	0		17	

199	74	0		20	

199	110	0		27	

199	35	0		32	

199	158	0		33	

199	140	0		34	

199	133	0		35	

199	95	0		38	

199	54	0		41	

199	79	0		44	

199	4	0		49	

199	119	0		50	

199	161	0		52	

199	133	0		64	

199	36	0		68	

199	71	0		69	

199	60	0		70	

199	15	0		71	

199	112	0		73	

199	9	0		74	

199	54	0		75	

199	84	0		77	

199	20	0		79	

199	90	0		85	

199	66	0		87	

199	26	0		92	

199	157	0		97	

94	74	1		20	

94	35	1		32	

94	54	1		41	

94	79	1		44	

94	4	1		49	

94	36	1		68	

94	71	1		69	

94	60	1		70	

94	15	1		71	

94	9	1		74	

94	54	1		75	

94	84	1		77	

94	20	1		79	

94	90	1		85	

94	66	1		87	

94	26	1		92	

147	108	2		5	

147	138	2		11	

147	115	2		12	

147	128	2		15	

147	142	2		17	

147	74	2		20	

147	110	2		27	

147	35	2		32	

147	140	2		34	

147	133	2		35	

147	95	2		38	

147	54	2		41	

147	79	2		44	

147	4	2		49	

147	119	2		50	

147	133	2		64	

147	36	2		68	

147	71	2		69	

147	60	2		70	

147	15	2		71	

147	112	2		73	

147	9	2		74	

147	54	2		75	

147	84	2		77	

147	20	2		79	

147	90	2		85	

147	66	2		87	

147	26	2		92	

167	108	3		5	

167	160	3		6	

167	138	3		11	

167	115	3		12	

167	128	3		15	

167	142	3		17	

167	74	3		20	

167	110	3		27	

167	35	3		32	

167	158	3		33	

167	140	3		34	

167	133	3		35	

167	95	3		38	

167	54	3		41	

167	79	3		44	

167	4	3		49	

167	119	3		50	

167	161	3		52	

167	133	3		64	

167	36	3		68	

167	71	3		69	

167	60	3		70	

167	15	3		71	

167	112	3		73	

167	9	3		74	

167	54	3		75	

167	84	3		77	

167	20	3		79	

167	90	3		85	

