Input Size = 10
Total Conversions Output are on the end of file
arr[i]	arr[j]	i		j

352	308	0		1	

352	257	0		2	

352	82	0		3	

352	196	0		4	

352	73	0		5	

352	256	0		7	

352	224	0		8	

352	151	0		9	

308	257	1		2	

308	82	1		3	

308	196	1		4	

308	73	1		5	

308	256	1		7	

308	224	1		8	

308	151	1		9	

257	82	2		3	

257	196	2		4	

257	73	2		5	

257	256	2		7	

257	224	2		8	

257	151	2		9	

82	73	3		5	

196	73	4		5	

196	151	4		9	

397	256	6		7	

397	224	6		8	

397	151	6		9	

256	224	7		8	

256	151	7		9	

224	151	8		9	

Average Execution Time: 229192 ns
Total Inversions: 30
